# source_api_id	status	crystal_refs	notes
src/commands/config/approvals.rs::func::clear_approvals	missing	-	baseline
src/commands/config/codex.rs::func::handle_codex_install	missing	-	baseline
src/commands/config/codex.rs::func::handle_codex_uninstall	missing	-	baseline
src/commands/config/create.rs::func::handle_config_create	missing	-	baseline
src/commands/config/hints.rs::func::handle_hints_clear	missing	-	baseline
src/commands/config/hints.rs::func::handle_hints_get	missing	-	baseline
src/commands/config/opencode.rs::func::handle_opencode_install	missing	-	baseline
src/commands/config/opencode.rs::func::handle_opencode_uninstall	missing	-	baseline
src/commands/config/opencode.rs::func::is_plugin_installed	missing	-	baseline
src/commands/config/opencode.rs::func::plugin_file_exists	missing	-	baseline
src/commands/config/opencode.rs::func::plugin_path	missing	-	baseline
src/commands/config/plugins.rs::func::handle_claude_install	missing	-	baseline
src/commands/config/plugins.rs::func::handle_claude_install_statusline	missing	-	baseline
src/commands/config/plugins.rs::func::handle_claude_uninstall	missing	-	baseline
src/commands/config/show.rs::func::handle_config_show	missing	-	baseline
src/commands/config/state.rs::func::handle_logs_list	missing	-	baseline
src/commands/config/state.rs::func::handle_state_clear	missing	-	baseline
src/commands/config/state.rs::func::handle_state_clear_all	missing	-	baseline
src/commands/config/state.rs::func::handle_state_get	missing	-	baseline
src/commands/config/state.rs::func::handle_state_set	missing	-	baseline
src/commands/config/state.rs::func::handle_state_show	missing	-	baseline
src/commands/config/state.rs::func::handle_vars_clear	missing	-	baseline
src/commands/config/state.rs::func::handle_vars_get	missing	-	baseline
src/commands/config/state.rs::func::handle_vars_list	missing	-	baseline
src/commands/config/state.rs::func::handle_vars_set	missing	-	baseline
src/commands/config/state.rs::func::require_user_config_path	missing	-	baseline
src/commands/config/update.rs::func::handle_config_update	missing	-	baseline
src/commands/configure_shell.rs::enum::ConfigAction	missing	-	baseline
src/commands/configure_shell.rs::enum::UninstallAction	missing	-	baseline
src/commands/configure_shell.rs::func::description	missing	-	baseline
src/commands/configure_shell.rs::func::handle_configure_shell	missing	-	baseline
src/commands/configure_shell.rs::func::handle_show_theme	missing	-	baseline
src/commands/configure_shell.rs::func::handle_unconfigure_shell	missing	-	baseline
src/commands/configure_shell.rs::func::process_shell_completions	missing	-	baseline
src/commands/configure_shell.rs::func::prompt_for_install	missing	-	baseline
src/commands/configure_shell.rs::func::scan_shell_configs	missing	-	baseline
src/commands/configure_shell.rs::func::show_install_preview	missing	-	baseline
src/commands/configure_shell.rs::func::show_uninstall_preview	missing	-	baseline
